pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
alle	Chrom6	1	10000	NA	0	0	0	96492
vill	Chrom6	1	10000	0.0	102	0	627	63633
vill	Chrom6	10001	20000	0.0	449	0	4795	278075
alle	Chrom6	10001	20000	NA	0	0	0	424754
vill	Chrom6	20001	30000	0.0	1576	0	24942	987468
alle	Chrom6	20001	30000	0.0	180	0	180	1520042
vill	Chrom6	30001	40000	0.0	65	0	65	40885
alle	Chrom6	30001	40000	NA	0	0	0	61490
vill	Chrom6	40001	50000	0.0	436	0	3948	270732
alle	Chrom6	40001	50000	NA	0	0	0	412456
vill	Chrom6	50001	60000	0.0	187	0	187	117623
alle	Chrom6	50001	60000	NA	0	0	0	176902
vill	Chrom6	60001	70000	NA	0	NA	NA	NA
alle	Chrom6	60001	70000	NA	0	NA	NA	NA
vill	Chrom6	70001	80000	0.0012582932967284	809	22	17484	507936
alle	Chrom6	70001	80000	6.129798482874875e-05	717	4	65255	723709
vill	Chrom6	80001	90000	0.0022722176545332	3189	152	66895	1949735
alle	Chrom6	80001	90000	0.002063208235904	3144	780	378052	2650094
vill	Chrom6	90001	100000	0.0023605253067484	1870	197	83456	1095274
alle	Chrom6	90001	100000	0.0015153405950831	1769	255	168279	1601687
alle	Chrom6	100001	110000	0.0002046014874528	1065	40	195502	832800
vill	Chrom6	100001	110000	0.0077324096427696	1086	221	28581	656229
alle	Chrom6	110001	120000	0.0061072205854048	3390	1650	270172	2994474
vill	Chrom6	110001	120000	0.0028118525339559	3006	342	121628	2052502
alle	Chrom6	120001	130000	0.0067888557539476	4125	3071	452359	4028843
vill	Chrom6	120001	130000	0.0015091275742318	4647	342	226621	2757689
alle	Chrom6	130001	140000	0.0013926415829871	2681	518	371955	2185083
vill	Chrom6	130001	140000	0.0040688278353455	2623	214	52595	1650295
alle	Chrom6	140001	150000	0.001472320376914	1830	250	169800	1642736
vill	Chrom6	140001	150000	0.0094582636908858	1787	962	101710	1105370
vill	Chrom6	150001	160000	0.0048555989979839	4523	4369	899786	2012074
alle	Chrom6	150001	160000	0.002040168653942	1405	135	66171	4306241
vill	Chrom6	160001	170000	0.0031093716025222	1506	143	45990	927360
alle	Chrom6	160001	170000	0.00349367304333	1529	492	140826	1320744
alle	Chrom6	170001	180000	0.0014245579680422	1813	323	226737	1494037
vill	Chrom6	170001	180000	0.0009117598789182	1787	50	54839	1091131
alle	Chrom6	180001	190000	0.0023609653725078	1665	468	198224	1396732
vill	Chrom6	180001	190000	0.0028054190145066	1686	234	83410	978770
vill	Chrom6	190001	200000	0.0014120396669534	2471	87	61613	1495117
alle	Chrom6	190001	200000	0.0022789458525345	2445	633	277760	2059806
vill	Chrom6	200001	210000	0.0029443750289231	4298	509	172872	2560698
alle	Chrom6	200001	210000	0.0041326076548699	4283	1407	340463	3764231
alle	Chrom6	210001	220000	0.0064117217424271	5360	1150	179359	5271493
vill	Chrom6	210001	220000	0.0028363550997454	5761	1619	570803	3059257
alle	Chrom6	220001	230000	0.0023317325981587	1323	521	223439	1129341
vill	Chrom6	220001	230000	0.0028254188559532	1396	114	40348	860552
alle	Chrom6	230001	240000	0.0020767593324372	3249	360	173347	2984401
vill	Chrom6	230001	240000	0.0053500234521575	3217	365	68224	2034716
alle	Chrom6	240001	250000	0.0038836191382893	4454	669	172262	4702476
vill	Chrom6	240001	250000	0.0107534558819616	5153	24249	2254996	991394
vill	Chrom6	250001	260000	0.001124446126784	3238	202	179644	1860296
alle	Chrom6	250001	260000	0.0015017502015216	2211	408	271683	2791465
alle	Chrom6	260001	270000	0.0020508730452616	2378	360	175535	2223521
vill	Chrom6	260001	270000	0.0031093686629714	2480	322	103558	1494122
alle	Chrom6	270001	280000	0.0167596116963205	3691	5680	338910	4348520
vill	Chrom6	270001	280000	0.0099612450985379	4945	9595	963233	2158417
alle	Chrom6	280001	290000	0.0075784989816068	1025	733	96721	3061027
vill	Chrom6	280001	290000	0.0011683472039956	3338	211	180597	1922343
alle	Chrom6	290001	300000	0.0045145565509302	2819	702	155497	3355109
vill	Chrom6	290001	300000	0.0063988233780389	3711	6117	955957	1381973
vill	Chrom6	300001	310000	0.0006928598281183	2270	317	457524	995886
alle	Chrom6	300001	310000	0.0031651765320107	658	194	61292	2121130
vill	Chrom6	310001	320000	NA	0	0	0	132300
alle	Chrom6	310001	320000	0.0	210	0	210	198450
vill	Chrom6	320001	330000	0.0110630200365658	2412	593	53602	1631648
alle	Chrom6	320001	330000	0.0069358916185907	1720	214	30854	2499696
alle	Chrom6	330001	340000	0.0071779624784759	1650	5490	764841	1663541
vill	Chrom6	330001	340000	0.0120247514676351	2567	7503	623963	993247
vill	Chrom6	340001	350000	0.0086892513813634	3801	11840	1362603	1069827
alle	Chrom6	340001	350000	0.0063973583928709	3461	11268	1761352	1891154
alle	Chrom6	350001	360000	0.008447002878238	1218	135	15982	7324978
vill	Chrom6	350001	360000	0.0040194720195283	7754	5997	1491987	3396813
vill	Chrom6	360001	370000	0.004096190992059	4278	2004	489235	2256935
alle	Chrom6	360001	370000	0.0021791624948465	1371	37	16979	4106635
vill	Chrom6	370001	380000	0.0028338045868677	2820	451	159150	1693680
alle	Chrom6	370001	380000	0.0009709007184665	1538	35	36049	2746137
vill	Chrom6	380001	390000	0.0064010647751298	4155	8147	1272757	1344893
alle	Chrom6	380001	390000	0.0088735806337018	3328	8293	934572	2996058
alle	Chrom6	390001	400000	0.0087243957222836	3294	6506	745725	3592631
vill	Chrom6	390001	400000	0.0075556880616721	2915	3548	469580	2419600
vill	Chrom6	400001	410000	0.0087800145525103	1880	362	41230	1683080
alle	Chrom6	400001	410000	0.0078282274874753	2389	3072	392426	2196776
alle	Chrom6	410001	420000	0.0062348019618348	3285	6051	970520	2137090
vill	Chrom6	410001	420000	0.0104397342613097	1473	99	9483	2060067
alle	Chrom6	420001	430000	0.0079333948597326	5859	11751	1481207	4259121
vill	Chrom6	420001	430000	0.0149531743157241	1642	289	19327	3803513
vill	Chrom6	430001	440000	0.0027637033625057	1096	18	6513	2785647
alle	Chrom6	430001	440000	0.0084462307369298	4432	13376	1583665	2609007
vill	Chrom6	440001	450000	0.0071506833515944	1604	124	17341	1922429
alle	Chrom6	440001	450000	0.0086272625674984	2970	4130	478715	2434019
