pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
alle	vill	Chrom9	1	10000	0.0006485084306095	827	16	24672	2015520
alle	vill	Chrom9	10001	20000	0.0066511913847197	3943	10040	1509504	6630672
alle	vill	Chrom9	20001	30000	0.0053237180127449	4263	1066	200236	9851828
alle	vill	Chrom9	30001	40000	0.0105290300399673	2435	1960	186152	6599704
alle	vill	Chrom9	40001	50000	0.0050301431801055	1417	534	106160	3473680
alle	vill	Chrom9	50001	60000	0.0037902536335138	1850	266	70180	7995548
alle	vill	Chrom9	60001	70000	0.0076173557278208	1557	566	74304	7324560
alle	vill	Chrom9	70001	80000	0.0081905002846119	1657	1036	126488	10644712
alle	vill	Chrom9	80001	90000	0.0072457609111384	1174	682	94124	2308804
alle	vill	Chrom9	90001	100000	0.0019973237829115	2029	406	203272	3115208
alle	vill	Chrom9	100001	110000	0.0026409160551568	2319	524	198416	4559920
alle	vill	Chrom9	110001	120000	0.0080069900020053	1485	1118	139628	2836708
alle	vill	Chrom9	120001	130000	0.008314338997099	3697	3210	386080	7150592
alle	vill	Chrom9	130001	140000	0.0099515868746637	813	1332	133848	1253736
alle	vill	Chrom9	140001	150000	0.0027665653771146	1409	488	176392	2185352
alle	vill	Chrom9	150001	160000	0.0034258095356124	2172	774	225932	3222436
alle	vill	Chrom9	160001	170000	0.004982269503546	993	562	112800	1616928
alle	vill	Chrom9	170001	180000	0.0073011831660925	1317	780	106832	2012560
alle	vill	Chrom9	180001	190000	0.017609369287294	3632	11752	667372	6710900
alle	vill	Chrom9	190001	200000	0.0173599647848574	3023	5048	290784	5251632
alle	vill	Chrom9	200001	210000	0.011672808530657	3796	2382	204064	6947696
alle	vill	Chrom9	210001	220000	0.0070641084992198	3700	1648	233292	7521972
alle	vill	Chrom9	220001	230000	0.0024469425331912	3321	202	82552	7724984
alle	vill	Chrom9	230001	240000	0.0037548822710415	3677	2438	649288	6211016
alle	vill	Chrom9	240001	250000	0.0060907127429805	3703	1692	277800	5847528
alle	vill	Chrom9	250001	260000	0.0036937475109518	2441	742	200880	4421232
alle	vill	Chrom9	260001	270000	0.0026351716036447	1560	332	125988	2585820
alle	vill	Chrom9	270001	280000	0.0144176321979266	1697	1324	91832	7503448
alle	vill	Chrom9	280001	290000	0.0346791503219598	3306	56226	1621320	5238984
alle	vill	Chrom9	290001	300000	0.0278830381154869	5975	126738	4545344	5609680
alle	vill	Chrom9	300001	310000	0.0128228302867343	1816	2270	177028	9235100
alle	vill	Chrom9	310001	320000	0.0136017650303364	2420	2466	181300	4759196
alle	vill	Chrom9	320001	330000	0.0061724828595639	2332	1282	207696	4224336
alle	vill	Chrom9	330001	340000	0.0062008035421449	1878	1210	195136	3096416
alle	vill	Chrom9	340001	350000	0.0087889273356401	2247	1016	115600	5551952
alle	vill	Chrom9	350001	360000	NA	0	NA	NA	NA
alle	vill	Chrom9	360001	370000	0.0053821619774461	2266	1134	210696	3937800
alle	vill	Chrom9	370001	380000	0.0008803711102834	1646	208	236264	2380504
alle	vill	Chrom9	380001	390000	0.0064179563104084	3499	1838	286384	6678464
alle	vill	Chrom9	390001	400000	0.0198229742072985	1759	3646	183928	6055448
alle	vill	Chrom9	400001	410000	0.0063552197986953	1497	1134	178436	2295772
alle	vill	Chrom9	410001	420000	0.0042426769519441	2560	814	191860	4384316
alle	vill	Chrom9	420001	430000	0.005073477956613	1761	986	194344	2793080
alle	vill	Chrom9	430001	440000	0.0019701837164943	1264	314	159376	1874480
alle	vill	Chrom9	440001	450000	0.0053885840635492	2328	1316	244220	3478180
alle	vill	Chrom9	450001	460000	0.0066058258608797	3700	1992	301552	5880800
alle	vill	Chrom9	460001	470000	0.0031645569620253	2210	756	238896	3328272
alle	vill	Chrom9	470001	480000	0.0080570308874336	2033	1250	155144	4409944
alle	vill	Chrom9	480001	490000	0.0177638453500522	3312	4352	244992	8490768
alle	vill	Chrom9	490001	500000	0.0051013313866583	2781	1174	230136	4678680
alle	vill	Chrom9	500001	510000	0.0057498887405429	3238	1292	224700	5461860
alle	vill	Chrom9	510001	520000	0.0092581642479431	3391	2192	236764	7860644
alle	vill	Chrom9	520001	530000	0.0053122827921755	611	428	80568	1367208
alle	vill	Chrom9	530001	540000	0.0048321400561641	1630	764	158108	4909108
alle	vill	Chrom9	540001	550000	0.006191318546741	3290	2184	352752	9517152
alle	vill	Chrom9	550001	560000	0.01166543553611	3776	4106	351980	7628212
alle	vill	Chrom9	560001	570000	0.0073351431589927	2658	2194	299108	4449724
alle	vill	Chrom9	570001	580000	0.0143209942823396	1004	2134	149012	1501516
alle	vill	Chrom9	580001	590000	0.0032995702885205	366	172	52128	595728
alle	vill	Chrom9	590001	600000	0.0254741823455329	1107	5340	209624	1762456
alle	vill	Chrom9	600001	610000	0.0118133814697348	2490	5602	474208	3861200
alle	vill	Chrom9	610001	620000	0.023663127780618	3930	34806	1470896	5693536
alle	vill	Chrom9	620001	630000	0.024065081054218	2462	17820	740492	5597092
alle	vill	Chrom9	630001	640000	0.0034290215703992	1869	592	172644	3356508
alle	vill	Chrom9	640001	650000	0.0127848840984351	4677	3938	308020	8182220
alle	vill	Chrom9	650001	660000	0.0027001250975389	2661	872	322948	3909500
alle	vill	Chrom9	660001	670000	0.0020038750431297	1482	302	150708	2249052
alle	vill	Chrom9	670001	680000	0.0080252960079737	1658	1868	232764	2439444
alle	vill	Chrom9	680001	690000	0.0039870831685778	1359	726	182088	1983240
