pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
alle	vill	Chrom3	1	10000	NA	0	NA	NA	NA
alle	vill	Chrom3	10001	20000	0.0001975503753457	570	2	10124	1963540
alle	vill	Chrom3	20001	30000	0.0044900577293136	1189	168	37416	3951096
alle	vill	Chrom3	30001	40000	0.0047362591192085	2980	992	209448	5364648
alle	vill	Chrom3	40001	50000	NA	0	NA	NA	NA
alle	vill	Chrom3	50001	60000	NA	0	NA	NA	NA
alle	vill	Chrom3	60001	70000	NA	0	NA	NA	NA
alle	vill	Chrom3	70001	80000	0.0	32	0	1476	49212
alle	vill	Chrom3	80001	90000	0.003870055238774	4246	1390	359168	6391840
alle	vill	Chrom3	90001	100000	0.0019700814745558	1806	472	239584	2682896
alle	vill	Chrom3	100001	110000	0.0082407520449273	2375	2970	360404	4123900
alle	vill	Chrom3	110001	120000	0.0118038471450996	4033	10076	853620	5609100
alle	vill	Chrom3	120001	130000	0.0057064147973238	1277	1160	203280	1860672
alle	vill	Chrom3	130001	140000	0.0022394514116266	2240	290	129496	3673688
alle	vill	Chrom3	140001	150000	0.0013542271232346	1035	224	165408	1474032
alle	vill	Chrom3	150001	160000	0.0008513002491173	1974	190	223188	2943228
alle	vill	Chrom3	160001	170000	0.0141822906998329	345	1528	107740	438740
alle	vill	Chrom3	170001	180000	0.0109193811325397	2402	1420	130044	6704916
alle	vill	Chrom3	180001	190000	0.0041455994515382	3689	1548	373408	6217616
alle	vill	Chrom3	190001	200000	0.0050226316207416	661	506	100744	946280
alle	vill	Chrom3	200001	210000	0.0029322927001344	1603	532	181428	2371980
alle	vill	Chrom3	210001	220000	0.0034691720143531	2280	932	268652	3420484
alle	vill	Chrom3	220001	230000	0.0076566064451844	2344	1168	152548	4295324
alle	vill	Chrom3	230001	240000	0.0065269403770695	2320	1364	208980	4541436
alle	vill	Chrom3	240001	250000	0.0110653695885885	1887	1688	152548	3623708
alle	vill	Chrom3	250001	260000	0.0101800710139209	2420	2890	283888	3712544
alle	vill	Chrom3	260001	270000	0.0032409865782872	1650	708	218452	2453756
alle	vill	Chrom3	270001	280000	0.0026051995817257	1894	578	221864	2798824
alle	vill	Chrom3	280001	290000	0.0078980414619638	2965	1434	181564	5680820
alle	vill	Chrom3	290001	300000	0.0015640913720355	954	172	109968	1412256
alle	vill	Chrom3	300001	310000	0.0179737564845895	3637	4712	262160	12864448
alle	vill	Chrom3	310001	320000	0.0244838161690095	2347	8590	350844	13537668
alle	vill	Chrom3	320001	330000	0.0045726345409778	1562	416	90976	8076128
alle	vill	Chrom3	330001	340000	0.0087218522042499	1333	990	113508	2270412
alle	vill	Chrom3	340001	350000	0.0070754716981132	660	474	66992	1193872
alle	vill	Chrom3	350001	360000	0.0049202811589233	2599	1148	233320	4577288
alle	vill	Chrom3	360001	370000	0.002488800398208	792	260	104468	1302124
