pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
alle	Chrom1	1	10000	0.0062897384377032	3140	10665	1695619	1406315
vill	Chrom1	1	10000	0.0070658594543961	2702	4707	666161	1399609
alle	Chrom1	10001	20000	NA	0	NA	NA	NA
vill	Chrom1	10001	20000	NA	0	NA	NA	NA
alle	Chrom1	20001	30000	NA	0	NA	NA	NA
vill	Chrom1	20001	30000	NA	0	NA	NA	NA
alle	Chrom1	30001	40000	NA	0	NA	NA	NA
vill	Chrom1	30001	40000	NA	0	NA	NA	NA
vill	Chrom1	40001	50000	NA	0	NA	NA	NA
alle	Chrom1	40001	50000	NA	0	NA	NA	NA
alle	Chrom1	50001	60000	NA	0	NA	NA	NA
vill	Chrom1	50001	60000	NA	0	NA	NA	NA
alle	Chrom1	60001	70000	0.0133055322212888	684	887	66664	620132
vill	Chrom1	60001	70000	0.0098934020762209	454	142	14353	443027
alle	Chrom1	70001	80000	0.0074028138444246	2809	6685	903035	1935911
vill	Chrom1	70001	80000	0.0037525272947836	1638	232	61825	1828805
vill	Chrom1	80001	90000	0.0160920920577462	5001	1876	116579	4137181
alle	Chrom1	80001	90000	0.0104118633655906	6752	39966	3838506	2548886
alle	Chrom1	90001	100000	0.0046034732411902	3952	3335	724453	4091633
vill	Chrom1	90001	100000	0.008514756908751	3951	2692	316157	2891173
alle	Chrom1	100001	110000	0.0094252556075831	4477	25797	2737008	1588104
vill	Chrom1	100001	110000	0.0105146465096558	4561	15574	1481172	1399188
alle	Chrom1	110001	120000	0.015599817965151	6493	72431	4643067	1516339
vill	Chrom1	110001	120000	0.0199480014682655	6145	39291	1969671	2132259
alle	Chrom1	120001	130000	0.0082316685010032	5119	18556	2254221	3086895
vill	Chrom1	120001	130000	0.0083940201513488	3875	589	70169	3486811
vill	Chrom1	130001	140000	0.0369275178653148	4562	2098	56814	4528956
alle	Chrom1	130001	140000	0.0067981312863473	7146	12101	1780048	5105886
vill	Chrom1	140001	150000	0.0047674347533769	4463	78	16361	3514789
alle	Chrom1	140001	150000	0.0036211397101539	3591	935	258206	5044124
vill	Chrom1	150001	160000	0.0147780456672812	5505	521	35255	3684895
alle	Chrom1	150001	160000	0.0110242461361098	2325	306	27757	5558373
vill	Chrom1	160001	170000	0.0172739741261074	2081	932	53954	2169946
alle	Chrom1	160001	170000	0.0104868282547523	3528	6097	581396	2757984
vill	Chrom1	170001	180000	0.0028619548447124	3375	243	84907	2659373
alle	Chrom1	170001	180000	0.0031817640241326	4277	2350	738584	3382192
alle	Chrom1	180001	190000	0.0202761388145152	3255	18069	891146	2279846
vill	Chrom1	180001	190000	0.0292642023618195	3334	10470	357775	1753985
alle	Chrom1	190001	200000	0.0026852878149708	3916	1817	676650	3043022
vill	Chrom1	190001	200000	0.0079297303891667	3316	910	114758	2362402
alle	Chrom1	200001	210000	0.0077917620832295	2555	5131	658516	1801084
vill	Chrom1	200001	210000	0.010963826950772	2560	2459	224283	1413717
alle	Chrom1	210001	220000	0.009272318863292	1501	710	76572	1433244
vill	Chrom1	210001	220000	0.0038732801479939	1342	134	34596	970884
alle	Chrom1	220001	230000	0.0084703552478921	2280	2840	335287	1821593
vill	Chrom1	220001	230000	0.0066923849482349	2255	713	106539	1329861
alle	Chrom1	230001	240000	0.0005543759087057	1938	159	286809	1550323
vill	Chrom1	230001	240000	0.0018479964443612	1684	79	42749	1180711
alle	Chrom1	240001	250000	0.0034614964391779	1008	697	201358	754102
vill	Chrom1	240001	250000	0.0032902358774734	988	71	21579	614721
alle	Chrom1	250001	260000	0.0059363175165069	1893	1630	274581	1519981
vill	Chrom1	250001	260000	0.0039508243759242	1877	179	45307	1149803
alle	Chrom1	260001	270000	0.0077917327460721	1631	3110	399141	1143785
vill	Chrom1	260001	270000	0.0172071781150528	1502	1492	86708	940822
alle	Chrom1	270001	280000	0.0028108475646403	1665	926	329438	1245652
vill	Chrom1	270001	280000	0.0020674233154719	1605	98	47402	1001548
alle	Chrom1	280001	290000	0.0008688509628547	1244	238	273925	902899
vill	Chrom1	280001	290000	0.0021884332185925	1212	96	43867	739853
alle	Chrom1	290001	300000	0.0012556908553508	1685	195	155293	1496423
vill	Chrom1	290001	300000	0.0037388617740563	1702	167	44666	1055314
vill	Chrom1	300001	310000	0.0095169454045111	1770	581	61049	1374721
alle	Chrom1	300001	310000	0.0033616626260623	1758	373	110957	2044977
vill	Chrom1	310001	320000	0.0039918637172641	1740	157	39330	1063170
alle	Chrom1	310001	320000	0.0003913505507506	1748	130	332183	1323317
vill	Chrom1	320001	330000	0.0018006787173626	787	26	14439	488931
alle	Chrom1	320001	330000	0.0007447516375379	799	122	163813	592041
vill	Chrom1	330001	340000	0.0027420072641658	1673	191	69657	1013943
alle	Chrom1	330001	340000	0.000329926210734	1706	52	157611	1469509
vill	Chrom1	340001	350000	0.0011432697514892	992	38	33238	591722
alle	Chrom1	340001	350000	0.0003155038596638	992	45	142629	795803
vill	Chrom1	350001	360000	0.0007030313055704	574	17	24181	348149
alle	Chrom1	350001	360000	0.0006394287769592	588	48	75067	484019
alle	Chrom1	360001	370000	0.0007173683705763	1905	187	260675	1563213
vill	Chrom1	360001	370000	0.0020212572674418	1871	89	44032	1170608
vill	Chrom1	370001	380000	0.0045255619653869	1895	182	40216	1342004
alle	Chrom1	370001	380000	0.0023096148534193	2108	694	300483	1775041
vill	Chrom1	380001	390000	0.0033041388686881	2420	209	63254	1473316
alle	Chrom1	380001	390000	0.001347240434473	2436	562	417149	1890145
vill	Chrom1	390001	400000	0.0103271932873243	982	416	40282	585308
alle	Chrom1	390001	400000	0.0052272957612517	976	1341	256538	682840
alle	Chrom1	400001	410000	0.0007781594689273	2220	275	353398	1746722
vill	Chrom1	400001	410000	0.0012826709298434	2217	69	53794	1344806
alle	Chrom1	410001	420000	0.0002456653710093	3924	45	183176	6542884
vill	Chrom1	410001	420000	0.0021348049394814	7108	1429	669382	3809918
vill	Chrom1	420001	430000	0.0017241379310344	1329	53	30740	811570
alle	Chrom1	420001	430000	0.0004193528546746	1337	75	178847	1085955
vill	Chrom1	430001	440000	0.0014637844054682	1612	56	38257	1005653
alle	Chrom1	430001	440000	0.0008474264028591	1618	184	217128	1350394
alle	Chrom1	440001	450000	0.0016214093594166	1741	384	236831	1426237
vill	Chrom1	440001	450000	0.0041427149234079	1646	129	31139	1076401
vill	Chrom1	450001	460000	0.0023026116463673	821	76	33006	484854
alle	Chrom1	450001	460000	0.000794980877487	809	37	46542	731070
vill	Chrom1	460001	470000	0.0008131320831427	1304	32	39354	789726
alle	Chrom1	460001	470000	0.000284555737355	1270	44	154627	1090309
vill	Chrom1	470001	480000	0.0008386681949064	2828	60	71542	1724588
alle	Chrom1	470001	480000	0.0006655820144948	2839	270	405660	2291386
alle	Chrom1	480001	490000	0.0012545642707906	1659	257	204852	1513084
vill	Chrom1	480001	490000	0.0015330280214235	1775	79	51532	1092548
alle	Chrom1	490001	500000	0.0032332884413946	2610	1210	374232	2188482
vill	Chrom1	490001	500000	0.0029248318221702	2639	180	61542	1645128
alle	Chrom1	500001	510000	0.0014205706412806	2303	365	256939	1922645
vill	Chrom1	500001	510000	0.0038398115429917	2298	163	42450	1409070
alle	Chrom1	510001	520000	0.0022208041914005	1389	529	238202	1076738
vill	Chrom1	510001	520000	0.0093507254873222	1382	319	34115	841585
alle	Chrom1	520001	530000	0.0053049266994341	5757	1742	328374	5228430
vill	Chrom1	520001	530000	0.0089798640930504	5519	1077	119935	3580685
alle	Chrom1	530001	540000	0.0022737552412503	1100	372	163606	1049166
vill	Chrom1	530001	540000	0.0036803115205622	1085	155	42116	765544
alle	Chrom1	540001	550000	0.0019540651431453	3544	682	349016	3181456
vill	Chrom1	540001	550000	0.0090611143242722	3539	752	82992	2268168
alle	Chrom1	550001	560000	0.0071212089099887	2015	2016	283098	1626876
vill	Chrom1	550001	560000	0.0022494693153375	1715	71	31563	1240407
alle	Chrom1	560001	570000	0.0182744270150652	2630	14179	775893	1712087
vill	Chrom1	560001	570000	0.0201778385772913	2593	5074	251464	1405436
vill	Chrom1	570001	580000	0.0010612782034682	1476	50	47113	883397
alle	Chrom1	570001	580000	0.0015836643060654	1473	443	279731	1117511
alle	Chrom1	580001	590000	0.0012049015394625	2199	300	248983	1836947
vill	Chrom1	580001	590000	0.0024289531212047	2174	110	45287	1343863
alle	Chrom1	590001	600000	0.0035942838492714	1723	870	242051	1404935
vill	Chrom1	590001	600000	0.0123592578656401	1588	854	69098	1027732
vill	Chrom1	600001	610000	0.0131481669396807	1522	907	68983	1286777
alle	Chrom1	600001	610000	0.0071258003443978	2147	1498	210222	1825570
vill	Chrom1	610001	620000	0.002746402599412	2462	213	77556	1476654
alle	Chrom1	610001	620000	0.0014331547875578	2305	419	292362	2041420
alle	Chrom1	620001	630000	0.0038913883142621	1406	538	138254	1237230
vill	Chrom1	620001	630000	0.0078254932511685	1438	447	57121	858899
alle	Chrom1	630001	640000	0.0058842089170648	2294	1809	307433	1862691
vill	Chrom1	630001	640000	0.0064876476906552	2268	302	46550	1398670
