pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
alle	vill	Chrom4	1	10000	0.0069355844405007	2449	2892	416980	5684588
alle	vill	Chrom4	10001	20000	0.0081772554780266	2472	1336	163380	5084412
alle	vill	Chrom4	20001	30000	0.0018137847642079	290	12	6616	1610648
alle	vill	Chrom4	30001	40000	0.0010090119975673	1655	146	144696	3062904
alle	vill	Chrom4	40001	50000	0.0179449827224066	3888	42376	2361440	3871600
alle	vill	Chrom4	50001	60000	0.0220226890336337	2606	21152	960464	4930432
alle	vill	Chrom4	60001	70000	0.0059488765869479	4546	16046	2697316	9204860
alle	vill	Chrom4	70001	80000	0.0095841113982909	3223	3100	323452	7742276
alle	vill	Chrom4	80001	90000	0.0139931215209625	1865	15998	1143276	4045908
alle	vill	Chrom4	90001	100000	0.0060234406183098	2023	664	110236	4274276
alle	vill	Chrom4	100001	110000	0.0076101093184294	3334	1732	227592	6365016
alle	vill	Chrom4	110001	120000	0.0042193140794223	1691	374	88640	3665440
alle	vill	Chrom4	120001	130000	0.009816474605207	843	368	37488	1861728
alle	vill	Chrom4	130001	140000	0.0014737130714922	1148	86	58356	3573756
alle	vill	Chrom4	140001	150000	0.0093002492466798	2907	1000	107524	7034732
alle	vill	Chrom4	150001	160000	0.0114424622144469	2919	2250	196636	5228564
alle	vill	Chrom4	160001	170000	0.013953925054865	2090	4756	340836	3338796
alle	vill	Chrom4	170001	180000	0.0195480773466061	1932	8876	454060	3208148
alle	vill	Chrom4	180001	190000	0.0067753927329416	862	452	66712	2123960
alle	vill	Chrom4	190001	200000	0.0149300690998029	3721	5030	336904	7782680
alle	vill	Chrom4	200001	210000	0.0166067646492522	4045	8280	498592	7845920
alle	vill	Chrom4	210001	220000	0.011787014889995	2605	4376	371256	3854856
alle	vill	Chrom4	220001	230000	0.007294342356583	880	886	121464	1403928
alle	vill	Chrom4	230001	240000	0.0253309307644327	1878	8772	346296	3230376
alle	vill	Chrom4	240001	250000	0.024715476794319	1126	12474	504704	1296304
alle	vill	Chrom4	250001	260000	0.0070875182419091	3499	2642	372768	6159648
alle	vill	Chrom4	260001	270000	0.0038367990133945	3600	1344	350292	5885916
alle	vill	Chrom4	270001	280000	0.0139616055846422	1351	928	66468	3815916
alle	vill	Chrom4	280001	290000	0.0037916168908741	687	292	77012	1103068
alle	vill	Chrom4	290001	300000	0.0011556702887674	1192	154	133256	4650424
alle	vill	Chrom4	300001	310000	0.0019267352812057	2413	474	246012	3598356
alle	vill	Chrom4	310001	320000	0.0045424943015304	1000	558	122840	1467496
alle	vill	Chrom4	320001	330000	0.0053824980241462	1548	790	146772	2438316
alle	vill	Chrom4	330001	340000	0.0228068281700565	996	5916	259396	1468748
alle	vill	Chrom4	340001	350000	0.0012634964392373	533	88	69648	793632
alle	vill	Chrom4	350001	360000	0.0029589796249256	1403	438	148024	2392712
alle	vill	Chrom4	360001	370000	0.0104765817584223	511	204	19472	1756192
alle	vill	Chrom4	370001	380000	0.0030668777206173	638	62	20216	1595464
alle	vill	Chrom4	380001	390000	0.0003749707054136	1596	64	170680	2460344
alle	vill	Chrom4	390001	400000	0.0020109066121336	1114	236	117360	2146176
alle	vill	Chrom4	400001	410000	0.0015678896205707	3578	460	293388	5667204
alle	vill	Chrom4	410001	420000	0.0047258979206049	1221	530	112148	2011996
alle	vill	Chrom4	420001	430000	0.0039182074201053	1145	512	130672	2899520
alle	vill	Chrom4	430001	440000	0.0093349302522192	1980	1590	170328	3203592
alle	vill	Chrom4	440001	450000	0.0161593099949264	1520	3822	236520	6791688
alle	vill	Chrom4	450001	460000	0.0081831365237207	1182	948	115848	2770200
alle	vill	Chrom4	460001	470000	0.0013370890679597	1582	150	112184	3537352
alle	vill	Chrom4	470001	480000	0.0183407364951998	567	512	27916	1812692
alle	vill	Chrom4	480001	490000	0.0079634314627414	1480	1108	139136	2428528
alle	vill	Chrom4	490001	500000	0.0021527085208338	1366	354	164444	3093844
alle	vill	Chrom4	500001	510000	0.0069460288488351	1952	1096	157788	3146436
alle	vill	Chrom4	510001	520000	0.0018181818181818	1673	330	181500	2582580
alle	vill	Chrom4	520001	530000	0.0017912667297553	3551	318	177528	7146888
alle	vill	Chrom4	530001	540000	0.0075119091242213	2822	1722	229236	4912428
alle	vill	Chrom4	540001	550000	0.0070738457056852	2447	2914	411940	5097212
alle	vill	Chrom4	550001	560000	0.0188458518292976	1725	4704	249604	3167084
alle	vill	Chrom4	560001	570000	0.0054722938528182	2364	2572	470004	4142604
alle	vill	Chrom4	570001	580000	0.021258706379037	3293	23868	1122740	5967244
alle	vill	Chrom4	580001	590000	0.0125606482279634	1613	2040	162412	5753828
alle	vill	Chrom4	590001	600000	0.0099599753694581	2316	1294	129920	7793248
alle	vill	Chrom4	600001	610000	0.0042625	2577	682	160000	4123136
alle	vill	Chrom4	610001	620000	0.0039706504015942	1464	526	132472	2424104
alle	vill	Chrom4	620001	630000	0.0042538450879866	2798	1228	288680	4658152
alle	vill	Chrom4	630001	640000	0.0087728798873605	1674	1620	184660	3136988
alle	vill	Chrom4	640001	650000	0.0038494550940255	1180	592	153788	2165188
alle	vill	Chrom4	650001	660000	0.0038255547054322	804	80	20912	2844544
alle	vill	Chrom4	660001	670000	0.0	307	0	3740	1708564
alle	vill	Chrom4	670001	680000	0.0033876773237349	408	192	56676	602268
alle	vill	Chrom4	680001	690000	0.030631625138845	2594	17870	583384	4860824
alle	vill	Chrom4	690001	700000	0.0064795197740112	1100	734	113280	1727328
alle	vill	Chrom4	700001	710000	0.0046684085145623	817	486	104104	1221704
alle	vill	Chrom4	710001	720000	0.0068243524203214	1247	1116	163532	2171284
alle	vill	Chrom4	720001	730000	0.0164439389631314	672	1388	84408	1014888
alle	vill	Chrom4	730001	740000	0.0031544233618505	1472	528	167384	2207032
alle	vill	Chrom4	740001	750000	0.0028060903485592	1406	446	158940	2229732
alle	vill	Chrom4	750001	760000	0.0088792190991414	993	604	68024	2531320
alle	vill	Chrom4	760001	770000	0.0116536129358261	3864	2952	253312	6887360
alle	vill	Chrom4	770001	780000	0.005600126200027	1871	994	177496	3120392
alle	vill	Chrom4	780001	790000	0.0061083862425901	1039	812	132932	1807468
alle	vill	Chrom4	790001	800000	0.0082527824748252	1558	1308	158492	2366404
alle	vill	Chrom4	800001	810000	0.00536894735076	2407	1280	238408	3897416
alle	vill	Chrom4	810001	820000	0.0018885741265344	2246	424	224508	3375924
alle	vill	Chrom4	820001	830000	0.0026780185758513	983	346	129200	1795360
alle	vill	Chrom4	830001	840000	0.0025430534487373	1385	342	134484	2086284
alle	vill	Chrom4	840001	850000	0.0050239750013469	1782	746	148488	2748648
alle	vill	Chrom4	850001	860000	0.0018039520426287	1851	390	216192	3162480
alle	vill	Chrom4	860001	870000	0.0144915835788963	1759	1436	99092	3181372
alle	vill	Chrom4	870001	880000	0.007121003381582	2671	1592	223564	4327268
alle	vill	Chrom4	880001	890000	0.0061928293554831	1617	1178	190220	2461396
alle	vill	Chrom4	890001	900000	0.0070683942358788	2925	3618	511856	4710592
alle	vill	Chrom4	900001	910000	0.0089812182678103	2708	2894	322228	5229692
alle	vill	Chrom4	910001	920000	0.0121004312658485	2961	5230	432216	5046840
alle	vill	Chrom4	920001	930000	0.0032725380655055	1314	478	146064	2808096
alle	vill	Chrom4	930001	940000	0.0028857202548835	1810	442	153168	2832672
alle	vill	Chrom4	940001	950000	0.0027848531159789	923	328	117780	1372764
alle	vill	Chrom4	950001	960000	0.013530135301353	1478	2068	152844	3108612
alle	vill	Chrom4	960001	970000	0.0052877239938636	1646	648	122548	3254540
alle	vill	Chrom4	970001	980000	0.0077230813390262	2204	1722	222968	3489928
alle	vill	Chrom4	980001	990000	0.0107689950980392	1918	1406	130560	4208016
alle	vill	Chrom4	990001	1000000	0.0038444856275383	2035	780	202888	3969368
alle	vill	Chrom4	1000001	1010000	0.0090054325114918	1786	862	95720	4903384
alle	vill	Chrom4	1010001	1020000	0.0155608997029282	2933	2200	141380	5957020
alle	vill	Chrom4	1020001	1030000	0.0056675253826337	2667	748	131980	5709812
alle	vill	Chrom4	1030001	1040000	0.0036587915534183	862	140	38264	2052616
alle	vill	Chrom4	1040001	1050000	0.0066406407212138	2455	660	99388	7603604
alle	vill	Chrom4	1050001	1060000	0.0115823122003196	2629	2174	187700	7649932
alle	vill	Chrom4	1060001	1070000	0.0030322262181792	2792	344	113448	6819720
alle	vill	Chrom4	1070001	1080000	0.0051590166022674	1306	486	94204	2359412
alle	vill	Chrom4	1080001	1090000	0.0057863351526177	1302	916	158304	1918320
alle	vill	Chrom4	1090001	1100000	0.0038785625774473	2007	626	161400	4638120
alle	vill	Chrom4	1100001	1110000	0.0099767153321889	2110	2348	235348	3279548
alle	vill	Chrom4	1110001	1120000	0.0039439697993244	2467	794	201320	4355848
alle	vill	Chrom4	1120001	1130000	0.0052068167006392	1735	1502	288468	2703708
alle	vill	Chrom4	1130001	1140000	0.0021060070671378	1615	298	141500	5234596
alle	vill	Chrom4	1140001	1150000	0.0040349875897585	2746	1216	301364	5283820
alle	vill	Chrom4	1150001	1160000	0.0022223100171858	1401	450	202492	2076884
