pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
vill	Chrom9	1	10000	0.0016581456404587	963	12	7237	804203
alle	Chrom9	1	10000	0.0001593943016537	1152	4	25095	1193353
alle	Chrom9	10001	20000	0.0062691970103713	5114	11728	1870734	2990760
vill	Chrom9	10001	20000	0.0055050270281332	3968	1883	342051	2895519
alle	Chrom9	20001	30000	0.0058124794591295	5216	619	106495	5896821
vill	Chrom9	20001	30000	0.0036703692528193	5393	1557	424208	3573772
alle	Chrom9	30001	40000	0.0076982917895692	3073	475	61702	3990962
vill	Chrom9	30001	40000	0.0102862366022237	3646	3286	319456	2379464
alle	Chrom9	40001	50000	0.004797095812265	1522	703	146547	1991413
vill	Chrom9	40001	50000	0.000330823140208	2155	38	114865	1308935
alle	Chrom9	50001	60000	0.0032605795927239	3174	330	101209	4715823
vill	Chrom9	50001	60000	0.0018243591607947	3768	138	75643	3132317
alle	Chrom9	60001	70000	0.0056574448243705	2053	364	64340	4354426
vill	Chrom9	60001	70000	0.0035349514956082	4175	262	74117	2868613
alle	Chrom9	70001	80000	0.0038828313785583	6795	1647	424175	6008625
vill	Chrom9	70001	80000	0.0044593088071348	1662	144	32292	4251708
alle	Chrom9	80001	90000	0.0061100349403479	1203	675	110474	1324608
vill	Chrom9	80001	90000	0.003773954810567	1488	154	40806	914904
vill	Chrom9	90001	100000	0.000380316158476	2029	23	60476	1259374
alle	Chrom9	90001	100000	0.0020588886429045	2095	465	225850	1756020
alle	Chrom9	100001	110000	0.0027403571201626	2895	690	251792	2589992
vill	Chrom9	100001	110000	0.0007596799848064	2428	32	42123	1850397
alle	Chrom9	110001	120000	0.0086425791412575	1879	1661	192188	1585346
vill	Chrom9	110001	120000	0.0042843601895734	1485	113	26375	1157395
alle	Chrom9	120001	130000	0.0096255710389193	4758	8032	834444	3666624
vill	Chrom9	120001	130000	0.0036215061751323	3697	273	75383	2922157
vill	Chrom9	130001	140000	0.0037125818521983	820	127	34208	517672
alle	Chrom9	130001	140000	0.0047225431104141	869	789	167071	661625
alle	Chrom9	140001	150000	0.0036115922133273	1486	905	250582	1159904
vill	Chrom9	140001	150000	0.0014441922838869	1414	49	33929	905401
alle	Chrom9	150001	160000	0.0006775991339561	2177	169	249410	1810032
vill	Chrom9	150001	160000	0.0017812197483059	2172	92	51650	1319860
alle	Chrom9	160001	170000	0.0043769671293109	1088	655	149647	883385
vill	Chrom9	160001	170000	0.0027578810280767	997	72	26107	661853
alle	Chrom9	170001	180000	0.0045766955301471	1338	574	125418	1140330
vill	Chrom9	170001	180000	0.0045328113732358	1317	132	29121	813819
alle	Chrom9	180001	190000	0.0129986628979571	4081	6912	531747	3874721
vill	Chrom9	180001	190000	0.0177038283729947	4209	4986	281634	2652906
alle	Chrom9	190001	200000	0.0133975609129301	3408	4692	350213	2959841
vill	Chrom9	190001	200000	0.0133093606531424	3114	1177	88434	2115936
vill	Chrom9	200001	210000	0.0096053000488053	4113	925	96301	2748149
alle	Chrom9	200001	210000	0.0094731053789242	4198	1516	160032	4111158
alle	Chrom9	210001	220000	0.0078413133967397	4199	1686	215015	4416601
vill	Chrom9	210001	220000	0.0031269987918413	4397	308	98497	2985983
alle	Chrom9	220001	230000	0.0028860669567533	4241	130	45044	4617790
vill	Chrom9	220001	230000	0.0008987597115979	4009	45	50069	3055201
alle	Chrom9	230001	240000	0.0017350903794211	4126	785	452426	3644700
vill	Chrom9	230001	240000	0.000842010574816	3882	322	382418	2346112
alle	Chrom9	240001	250000	0.0013765460137377	3827	397	288403	3369779
vill	Chrom9	240001	250000	0.0042050390964378	3743	363	86325	2349885
alle	Chrom9	250001	260000	0.001028470600851	2598	211	205159	2555269
vill	Chrom9	250001	260000	0.000659418512766	2761	121	183495	1654845
alle	Chrom9	260001	270000	0.0010881117465458	1577	129	118554	1500998
vill	Chrom9	260001	270000	0.0012187238371784	1695	115	94361	984199
alle	Chrom9	270001	280000	0.0055544240987946	4049	2100	378077	4157993
vill	Chrom9	270001	280000	0.0087952141357315	2443	222	25241	2995609
alle	Chrom9	280001	290000	0.029301990200777	3918	33688	1149683	2947443
vill	Chrom9	280001	290000	0.0284626197740482	3719	16988	596853	2131677
vill	Chrom9	290001	300000	0.0231287560374769	6296	38663	1671642	2367288
alle	Chrom9	290001	300000	0.0255056641423619	6090	77535	3039913	3024893
alle	Chrom9	300001	310000	0.0041274842498084	5922	2806	679833	4941299
vill	Chrom9	300001	310000	0.0103942917808557	1836	842	81006	3662454
alle	Chrom9	310001	320000	0.0066730905821756	3085	2687	402662	2547912
vill	Chrom9	310001	320000	0.0083406711672047	2454	341	40884	1924086
vill	Chrom9	320001	330000	0.006244146113019	2486	240	38436	1724304
alle	Chrom9	320001	330000	0.0011118187411621	2644	309	277923	2368985
vill	Chrom9	330001	340000	0.0035207510935666	1908	132	37492	1271648
alle	Chrom9	330001	340000	0.0031138491794485	2048	836	268478	1697310
vill	Chrom9	340001	350000	0.0080764571274734	2816	240	29716	2224424
alle	Chrom9	340001	350000	0.0035074582054388	3009	993	283111	3101677
vill	Chrom9	350001	360000	NA	0	NA	NA	NA
alle	Chrom9	350001	360000	NA	0	NA	NA	NA
vill	Chrom9	360001	370000	0.0051909816378709	2315	201	38721	1611249
alle	Chrom9	360001	370000	0.0011841132085095	2570	325	274467	2203107
vill	Chrom9	370001	380000	0.0007925304009708	1646	32	40377	1000383
alle	Chrom9	370001	380000	0.0006420744545626	1652	197	306818	1255974
alle	Chrom9	380001	390000	0.0025294843780693	4282	1043	412337	3747225
vill	Chrom9	380001	390000	0.0054389281331874	3614	328	60306	2709804
vill	Chrom9	390001	400000	0.0267108262720977	1761	621	23249	2458321
alle	Chrom9	390001	400000	0.0053205085167006	3937	4517	848979	2877315
vill	Chrom9	400001	410000	0.0038065735587524	1530	145	38092	945968
alle	Chrom9	400001	410000	0.0027236098710224	1529	726	266558	1211094
alle	Chrom9	410001	420000	0.0033586975084916	2889	708	210796	2522198
vill	Chrom9	410001	420000	0.0025000462971536	2560	135	53999	1766071
alle	Chrom9	420001	430000	0.0019685125290802	1779	451	229107	1555049
vill	Chrom9	420001	430000	0.0024401934724824	1868	112	45898	1142282
alle	Chrom9	430001	440000	0.001349645717999	1273	324	240063	974601
vill	Chrom9	430001	440000	0.0011576307158016	1275	36	31098	777822
alle	Chrom9	440001	450000	0.0026301173977158	2341	824	313294	1909806
vill	Chrom9	440001	450000	0.0051282051282051	2337	252	49140	1431360
alle	Chrom9	450001	460000	0.0045244195710653	3845	1840	406682	3285556
vill	Chrom9	450001	460000	0.0054329226557152	3758	381	70128	2388762
alle	Chrom9	460001	470000	0.0031811070550547	2231	854	268460	1861932
vill	Chrom9	460001	470000	0.0020532684830568	2231	141	68671	1350089
alle	Chrom9	470001	480000	0.0050874353106285	2849	1276	250814	2475558
vill	Chrom9	470001	480000	0.0043278147970048	2066	189	43671	1771989
vill	Chrom9	480001	490000	0.0157129402035331	3959	1368	87062	3387388
alle	Chrom9	480001	490000	0.0155804861604995	4868	3790	243253	4973937
vill	Chrom9	490001	500000	0.0027229757501027	2993	159	58392	1893978
alle	Chrom9	490001	500000	0.0032035615678296	2887	970	302788	2628866
alle	Chrom9	500001	510000	0.0021979659501546	3494	531	241587	3154553
vill	Chrom9	500001	510000	0.0038503107268305	3334	228	59216	2202484
alle	Chrom9	510001	520000	0.0029468114223154	5077	1615	548050	4287902
vill	Chrom9	510001	520000	0.0087534592708458	3426	291	33244	3187316
alle	Chrom9	520001	530000	0.0026499469597843	914	642	242269	622375
vill	Chrom9	520001	530000	0.0040462427745664	611	35	8650	567170
alle	Chrom9	530001	540000	0.0018462163065524	3199	1055	571439	2454815
vill	Chrom9	530001	540000	0.0047550014496955	1630	82	17245	1998125
vill	Chrom9	540001	550000	0.006896954819101	3290	236	34218	3891312
alle	Chrom9	540001	550000	0.0024364695238178	6231	4438	1821488	4073038
vill	Chrom9	550001	560000	0.0140808400772385	3895	649	46091	3127849
alle	Chrom9	550001	560000	0.0029205655689668	4919	2123	726914	4039034
alle	Chrom9	560001	570000	0.0003685431337944	2916	194	526397	2309711
vill	Chrom9	560001	570000	0.0072070544344581	2740	340	47176	1841564
alle	Chrom9	570001	580000	0.0011542507144253	1042	248	214858	770874
vill	Chrom9	570001	580000	0.012669529356745	1004	298	23521	632939
alle	Chrom9	580001	590000	0.0004798016819714	395	36	75031	311883
vill	Chrom9	580001	590000	0.0020612485276796	380	21	10188	247482
vill	Chrom9	590001	600000	0.0018987531022934	1224	127	66886	717464
alle	Chrom9	590001	600000	0.0287768930448919	1128	7275	252807	924963
alle	Chrom9	600001	610000	0.0066126084472147	2732	3032	458518	2130684
vill	Chrom9	600001	610000	0.011124192573265	2495	1748	157135	1567175
alle	Chrom9	610001	620000	0.0238319141836408	4285	30639	1285629	2993129
vill	Chrom9	610001	620000	0.016961487175826	4168	7365	434219	2415271
alle	Chrom9	620001	630000	0.0182412694462127	3963	22867	1253586	2531360
vill	Chrom9	620001	630000	0.0239598578298139	2500	4584	191320	2329310
alle	Chrom9	630001	640000	0.0028814420812244	2226	805	279374	1828314
vill	Chrom9	630001	640000	0.0027478744383021	1871	85	30933	1372707
vill	Chrom9	640001	650000	0.0060730146484278	4793	614	101103	3275697
alle	Chrom9	640001	650000	0.0098110410370294	5244	3256	331871	4738689
alle	Chrom9	650001	660000	0.0018033010902773	2665	739	409804	2117908
vill	Chrom9	650001	660000	0.0009968295283058	2668	72	72229	1611131
alle	Chrom9	660001	670000	0.0024209711666302	1495	366	151179	1282011
vill	Chrom9	660001	670000	0.0003044279038616	1502	20	65697	888753
alle	Chrom9	670001	680000	0.0044190340063129	1687	1484	335820	1260082
vill	Chrom9	670001	680000	0.0035264597508872	1658	156	44237	1018573
vill	Chrom9	680001	690000	0.0018464335425958	1365	65	35203	826007
alle	Chrom9	680001	690000	0.0028694695742876	1361	707	246387	1046795
vill	Chrom9	690001	700000	0.0014289037317648	1398	43	30093	1046577
alle	Chrom9	690001	700000	0.0014225166142645	1701	195	137081	1479633
vill	Chrom9	700001	710000	0.0031062331745703	1607	90	28974	1255596
alle	Chrom9	700001	710000	0.0026181274155342	2030	399	152399	1776495
vill	Chrom9	710001	720000	0.0014953865733375	1080	94	62860	1731380
alle	Chrom9	710001	720000	0.0054011682620059	2844	2577	477119	2217089
alle	Chrom9	720001	730000	0.0014737028596277	2200	549	372531	1708669
vill	Chrom9	720001	730000	0.0019562692315529	2020	96	49073	1336927
alle	Chrom9	730001	740000	0.0013964933866502	1745	227	162550	1551602
vill	Chrom9	730001	740000	0.0021356261267507	1255	77	36055	1105505
alle	Chrom9	740001	750000	0.0015355062508159	5157	2717	1769449	3145967
vill	Chrom9	740001	750000	0.0025530466356518	2778	45	17626	3255854
alle	Chrom9	750001	760000	0.0018902802397391	2113	498	263453	1737337
vill	Chrom9	750001	760000	0.0058104056671353	1982	219	37691	1294759
alle	Chrom9	760001	770000	0.0064975853292436	3345	1593	245168	2929608
vill	Chrom9	760001	770000	0.0043543095735162	3159	219	50295	2063985
alle	Chrom9	770001	780000	0.0092061746669486	5999	10884	1182250	4535374
vill	Chrom9	770001	780000	0.0041485169052063	3074	220	53031	3754689
alle	Chrom9	780001	790000	0.0154086610815691	2473	19658	1275776	1065574
vill	Chrom9	780001	790000	0.0041210475964644	2124	504	122299	1436951
alle	Chrom9	790001	800000	0.0017037035376507	2846	760	446087	2332315
vill	Chrom9	790001	800000	0.002800057807645	2855	155	55356	1794954
alle	Chrom9	800001	810000	0.0005867578987237	2006	189	322109	1647463
vill	Chrom9	800001	810000	0.0015343562374916	2009	69	44970	1266690
alle	Chrom9	810001	820000	0.004762322998702	4096	1464	307413	3991211
vill	Chrom9	810001	820000	0.0075241046831955	3979	437	58080	2804640
alle	Chrom9	820001	830000	0.0012838107043251	1812	145	112945	1622019
vill	Chrom9	820001	830000	0.0021676880670109	1733	81	37367	1118053
alle	Chrom9	830001	840000	0.0025631289158913	529	162	63204	455204
vill	Chrom9	830001	840000	0.0076162949654337	544	195	25603	319637
alle	Chrom9	840001	850000	0.0014109679239958	2362	390	276406	1995886
vill	Chrom9	840001	850000	0.0014078723529066	2323	72	51141	1462119
vill	Chrom9	850001	860000	0.0065533980582524	1715	297	45320	1117030
alle	Chrom9	850001	860000	0.0028025625500781	1820	773	275819	1469551
alle	Chrom9	860001	870000	0.0027099472738519	1663	552	203694	1378018
vill	Chrom9	860001	870000	0.0028228173975881	1658	125	44282	1009078
alle	Chrom9	870001	880000	0.0018198804912704	1281	374	205508	1029022
vill	Chrom9	870001	880000	0.0057546476398773	1304	321	55781	766369
alle	Chrom9	880001	890000	4.827740195161397e-05	1583	8	165709	1340323
vill	Chrom9	880001	890000	0.0	1549	0	34921	968039
vill	Chrom9	890001	900000	0.0008311528397722	3132	81	97455	2179995
alle	Chrom9	890001	900000	0.0008788181084034	3535	185	210510	3209280
vill	Chrom9	900001	910000	0.0028077753779697	1035	52	18520	683300
alle	Chrom9	900001	910000	0.0014131551901336	1096	209	147896	905948
vill	Chrom9	910001	920000	0.0043823217712599	2747	153	34913	2127247
alle	Chrom9	910001	920000	0.0117530329010691	3300	4750	404151	2842521
alle	Chrom9	920001	930000	0.0032871447355112	2157	910	276836	1796796
vill	Chrom9	920001	930000	0.0055538976756523	1862	335	60318	1320642
vill	Chrom9	930001	940000	0.0194533131255625	4659	12643	649915	2783585
alle	Chrom9	930001	940000	0.0172136227561779	4914	22914	1331155	3824545
vill	Chrom9	940001	950000	0.02173749968744	1874	5216	239954	1468606
alle	Chrom9	940001	950000	0.0134062647450188	2712	10740	801118	1764434
vill	Chrom9	950001	960000	0.0014202486884438	1544	98	69002	1746658
alle	Chrom9	950001	960000	0.0013944181441688	2654	600	430287	2296085
vill	Chrom9	960001	970000	0.0076384468491406	578	12	1571	936499
alle	Chrom9	960001	970000	0.0029201999213792	1219	52	17807	1390787
vill	Chrom9	970001	980000	0.0039896737854963	588	17	4261	743549
alle	Chrom9	970001	980000	0.0068392048809289	1184	278	40648	1082254
vill	Chrom9	980001	990000	0.0022467101743875	778	21	9347	734053
alle	Chrom9	980001	990000	0.0014942756059507	1153	68	45507	1070773
alle	Chrom9	990001	1000000	0.014916278729679	1472	612	41029	1415811
vill	Chrom9	990001	1000000	0.0202582932387946	661	80	3949	966251
alle	Chrom9	1000001	1010000	0.0105599117380511	1445	536	50758	1466626
vill	Chrom9	1000001	1010000	0.0044313146233382	432	3	677	1009843
alle	Chrom9	1010001	1020000	0.0182150149631054	1830	3372	185122	1668092
vill	Chrom9	1010001	1020000	0.0083775532456204	1493	461	55028	1179142
alle	Chrom9	1020001	1030000	0.0241145426227886	2950	12433	515581	2297823
vill	Chrom9	1020001	1030000	0.0051413189771197	2071	191	37150	1836470
alle	Chrom9	1030001	1040000	0.0036777241950411	2601	302	82116	2437082
vill	Chrom9	1030001	1040000	0.0087040618955512	554	9	1034	1676656
vill	Chrom9	1040001	1050000	0.009501187648456	505	16	1684	1128536
alle	Chrom9	1040001	1050000	0.0070585371790191	1715	290	41085	1656039
vill	Chrom9	1050001	1060000	0.0116124687319607	2974	1207	103940	2468980
alle	Chrom9	1050001	1060000	0.0182350802155355	4078	14342	786506	3076958
alle	Chrom9	1060001	1070000	0.0072677739890894	3473	3276	450757	2946329
vill	Chrom9	1060001	1070000	0.0082461148112908	1607	104	12612	2249718
