chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chrom5	16111	36426	0.018092	0.004619	0.003737	0.001419
Chrom5	31239	50126	-0.372684	-0.039741	-0.031679	-0.024375
Chrom5	36507	62589	-0.192276	-0.032109	-0.024053	-0.023971
Chrom5	50171	66274	-0.168695	-0.053683	-0.041238	-0.039263
Chrom5	62684	85025	-0.086666	-0.022080	-0.017900	-0.033056
Chrom5	66327	85472	-0.247375	-0.055427	-0.040959	-0.070741
Chrom5	85040	97918	-0.502967	-0.283045	-0.131664	-0.286060
Chrom5	85473	110850	-0.222355	-0.079565	-0.049497	-0.120221
Chrom5	98147	140693	0.019433	0.005474	0.004052	0.002658
Chrom5	111906	145090	0.148034	0.039523	0.031544	0.129204
Chrom5	140696	151841	-0.104632	-0.042775	-0.030819	-0.064626
Chrom5	145545	152647	-0.078679	-0.050324	-0.034424	0.016725
Chrom5	151843	153257	0.084550	0.072884	0.056234	0.093988
Chrom5	152664	171974	0.176016	0.037396	0.031109	0.120502
Chrom5	153392	189439	0.329678	0.059209	0.046172	0.215127
Chrom5	173592	213763	0.462386	0.071115	0.056275	0.178662
Chrom5	189646	223431	0.370288	0.042461	0.035105	0.100982
Chrom5	213791	228322	-0.257849	-0.037656	-0.030137	-0.101025
Chrom5	223499	228688	-0.328801	-0.105066	-0.077607	-0.165421
Chrom5	228326	230986	0.076356	0.062715	0.050999	0.038190
Chrom5	228724	232050	0.050342	0.067282	0.052410	0.025130
Chrom5	231030	233317	0.075838	0.283230	0.173419	0.038095
Chrom5	232089	244433	0.103490	0.074776	0.061321	0.057872
Chrom5	233345	246126	0.020355	0.015027	0.011209	0.005960
Chrom5	244468	247678	0.055329	0.276136	0.098054	0.020917
Chrom5	246192	258366	0.071979	0.042442	0.027972	0.031046
Chrom5	247685	266638	0.121974	0.040055	0.027545	0.077839
Chrom5	258970	289191	0.150559	0.034396	0.026043	0.062800
Chrom5	266733	300661	-0.057799	-0.010892	-0.008766	-0.025451
Chrom5	289320	316368	0.008820	0.001831	0.001542	-0.014859
Chrom5	300701	322135	0.195908	0.038056	0.033009	0.053435
Chrom5	316382	324555	-0.019613	-0.006594	-0.004672	0.001485
Chrom5	322136	329151	-0.194952	-0.055003	-0.033455	-0.115388
Chrom5	324687	333806	-0.301953	-0.070808	-0.048242	-0.217626
Chrom5	329167	340137	-0.390779	-0.109263	-0.077920	-0.171392
Chrom5	335025	354169	-0.208562	-0.047302	-0.031290	-0.050882
Chrom5	340208	366830	-0.319387	-0.065953	-0.041339	-0.122955
Chrom5	354207	375673	-0.374238	-0.117277	-0.066314	-0.241180
Chrom5	367239	379810	0.022541	0.005070	0.003056	-0.001016
Chrom5	375955	386378	0.361782	0.057537	0.040275	0.074249
Chrom5	379838	389668	0.179162	0.042607	0.030166	0.049511
Chrom5	386408	397131	-0.014601	-0.006914	-0.004705	-0.005586
Chrom5	390113	411888	-0.180057	-0.092178	-0.055594	-0.036837
Chrom5	397200	414242	-0.145129	-0.062215	-0.034675	-0.043144
Chrom5	411890	420037	0.306712	0.087113	0.051756	0.185027
Chrom5	414246	428357	0.154576	0.031183	0.018960	0.038242
Chrom5	420039	431654	0.254570	0.051529	0.030715	0.087415
Chrom5	429027	443083	0.625970	0.179228	0.108906	0.438575
