chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chrom3	34138	87779	0.062572	0.036816	0.026578	0.030068
Chrom3	36679	96370	0.315064	0.091731	0.065892	0.222224
Chrom3	87781	101951	0.561752	0.121146	0.080109	0.412840
Chrom3	97415	105011	0.331547	0.063361	0.045641	0.197348
Chrom3	102077	117320	0.368593	0.069914	0.054224	0.268024
Chrom3	105026	118858	0.428285	0.110779	0.083527	0.373248
Chrom3	117485	120625	0.495777	0.116979	0.091789	0.322561
Chrom3	118868	133728	0.525230	0.091292	0.067770	0.300183
Chrom3	120977	134273	0.208240	0.084033	0.059386	0.139332
Chrom3	133735	135022	-0.076941	-0.481300	-0.188206	-0.042307
Chrom3	134301	144071	-0.203909	-0.176754	-0.117901	-0.131051
Chrom3	135041	148790	-0.329415	-0.088780	-0.063190	-0.222008
Chrom3	144086	149989	-0.391821	-0.061429	-0.041772	-0.296416
Chrom3	148799	158926	0.328197	0.095018	0.062895	0.261152
Chrom3	150148	162987	0.663933	0.155555	0.109650	0.404931
Chrom3	158940	165127	0.147228	0.045251	0.025677	0.117631
Chrom3	162998	166188	-0.241087	-0.169920	-0.062374	-0.095446
Chrom3	165163	168272	0.189099	0.064919	0.042199	0.104748
Chrom3	166209	170978	0.488316	0.085312	0.066403	0.352786
Chrom3	168282	172053	0.552823	0.117064	0.092966	0.414952
Chrom3	171224	174094	0.481882	0.310343	0.225203	0.359028
Chrom3	172091	175229	0.619544	0.473102	0.391939	0.415736
Chrom3	174111	178042	0.637379	0.489184	0.374693	0.423250
Chrom3	175280	183031	0.496911	0.202033	0.148769	0.355808
Chrom3	178468	189307	0.361773	0.056539	0.042320	0.348003
Chrom3	183062	192740	0.267436	0.051266	0.037580	0.212970
Chrom3	189452	196154	0.150295	0.037429	0.027598	0.102118
Chrom3	192789	197704	0.170481	0.053948	0.040118	0.113554
Chrom3	196173	200108	0.302088	0.086079	0.064598	0.127026
Chrom3	197711	217469	0.557960	0.106098	0.072931	0.269882
Chrom3	201341	228816	0.292907	0.060586	0.041720	0.116808
