chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chrom8	16934	72651	0.264016	0.131040	0.084493	0.092825
Chrom8	39518	106149	0.591027	0.507718	0.314723	0.341906
Chrom8	72656	106635	0.703387	0.538643	0.373105	0.551644
Chrom8	106157	109743	0.390871	0.327748	0.201930	0.102124
Chrom8	106640	112879	0.389626	0.431903	0.215951	0.150037
Chrom8	109768	113202	0.417031	0.370744	0.244824	0.291758
Chrom8	112881	116058	0.453539	0.393286	0.254897	0.349185
Chrom8	113206	123338	0.598840	0.526678	0.263559	0.500180
Chrom8	116065	130118	0.567228	0.479663	0.202953	0.515836
Chrom8	123448	134180	0.574517	0.398017	0.150544	0.400169
Chrom8	130123	134537	0.284110	0.315866	0.096752	0.118222
Chrom8	134184	134999	-0.181853	8.840943	-0.180298	-0.066299
Chrom8	134544	135480	0.034513	0.137508	0.038044	0.007944
Chrom8	135022	138336	0.568549	0.553318	0.357830	0.320487
Chrom8	135491	173264	0.423277	0.264221	0.158790	0.207861
Chrom8	138398	175225	-0.103326	-0.074117	-0.036002	-0.038192
Chrom8	173270	179085	0.080368	0.060356	0.034980	0.044900
Chrom8	175226	192834	-0.099369	-0.124968	-0.062912	-0.059913
Chrom8	179107	193423	0.160049	0.210482	0.107328	0.100266
Chrom8	192908	193821	0.594848	0.574855	0.356589	0.351773
Chrom8	193461	198241	0.312278	0.212750	0.137119	0.171227
Chrom8	193867	199546	0.196291	0.126124	0.086625	0.089541
Chrom8	198350	204438	0.310031	0.138466	0.081513	0.066315
Chrom8	200335	207117	0.626837	0.247339	0.151645	0.169099
Chrom8	204442	209018	0.235869	0.152088	0.086402	0.058727
Chrom8	207138	209671	-0.011561	-0.005595	-0.003129	-0.013136
Chrom8	209041	211528	0.534268	0.290600	0.188351	0.208879
Chrom8	209709	214660	0.333027	0.200537	0.128412	0.188089
Chrom8	211652	216460	0.134919	0.078514	0.048876	0.073432
Chrom8	214662	226007	0.381951	0.178512	0.110086	0.239495
Chrom8	216462	229981	0.491950	0.203461	0.131858	0.361993
Chrom8	226114	238894	0.356681	0.158046	0.102880	0.250858
Chrom8	230135	249956	0.518542	0.144279	0.097175	0.268342
Chrom8	239158	260550	0.407226	0.120248	0.071944	0.261659
Chrom8	251193	265690	0.086518	0.039684	0.019722	0.060642
Chrom8	260564	268808	0.049435	0.020348	0.012326	0.030452
Chrom8	265693	275192	0.500326	0.262769	0.171441	0.282207
Chrom8	268821	276970	0.289950	0.178095	0.094039	0.101390
Chrom8	275530	277625	-0.595855	-0.475517	-0.156693	-0.148883
Chrom8	277007	281779	-0.404794	-0.213301	-0.084181	-0.124280
Chrom8	277634	286669	0.134930	0.045138	0.027475	0.014964
Chrom8	283084	289567	0.502243	0.214302	0.161672	0.210123
Chrom8	286696	295492	0.406719	0.204184	0.142351	0.197916
Chrom8	289650	300621	0.431070	0.133485	0.096544	0.254518
Chrom8	295497	314901	0.549716	0.091657	0.068174	0.307559
Chrom8	300878	316272	0.209920	0.061804	0.039175	0.095515
Chrom8	315368	325358	0.251456	0.132244	0.065512	0.119446
Chrom8	316294	335387	0.417548	0.145976	0.080136	0.181508
Chrom8	325512	341071	0.400812	0.122704	0.072286	0.182018
Chrom8	336300	348570	-0.002422	-0.000632	-0.000407	-0.000535
Chrom8	341173	356621	-0.143841	-0.046049	-0.029366	-0.105868
Chrom8	349026	365985	-0.016357	-0.005553	-0.003366	-0.025428
Chrom8	357256	366829	0.055186	0.015343	0.010017	0.036222
Chrom8	365993	367336	-0.004587	-0.001990	-0.001394	0.005145
Chrom8	366833	371562	-0.236649	-0.081256	-0.052042	-0.172405
Chrom8	367343	374167	0.097198	0.031679	0.020102	0.024031
Chrom8	371680	380148	0.320919	0.135794	0.090751	0.178688
Chrom8	374174	383355	0.637942	0.278271	0.201112	0.488309
Chrom8	380182	386156	0.985286	0.491577	0.363632	0.916511
Chrom8	383388	392701	0.925833	0.497334	0.372896	0.876670
Chrom8	386410	401141	0.897418	0.438993	0.338259	0.840449
Chrom8	392703	404046	0.928663	0.457883	0.338299	0.871812
Chrom8	401260	405632	0.881127	0.562909	0.377206	0.803922
Chrom8	404087	407991	0.897037	0.648210	0.477213	0.798177
Chrom8	405938	412258	0.940018	0.630181	0.483107	0.827611
Chrom8	408054	423199	0.966933	0.589559	0.440630	0.902059
Chrom8	412261	434255	0.981677	0.641175	0.485307	0.979435
Chrom8	423908	436579	0.976190	0.641154	0.496464	0.972029
Chrom8	434602	439341	0.950024	0.547042	0.388119	0.889393
Chrom8	436588	446322	0.954228	0.543875	0.384448	0.853872
Chrom8	439414	457385	0.969379	0.521589	0.409463	0.923182
Chrom8	449210	460960	0.960815	0.585951	0.450632	0.946384
Chrom8	457424	466093	0.928076	0.575529	0.349955	0.872980
Chrom8	460980	472829	0.629089	0.341116	0.178756	0.450682
Chrom8	466102	485798	-0.027293	-0.010758	-0.004184	-0.006323
Chrom8	472840	487450	0.273915	0.092157	0.046639	0.088906
Chrom8	485813	496452	0.517747	0.138230	0.100949	0.228029
Chrom8	487756	498087	-0.015878	-0.004060	-0.002469	-0.039430
Chrom8	496489	507999	0.386420	0.135004	0.089400	0.150044
Chrom8	498971	510833	0.859426	0.311894	0.241945	0.514326
Chrom8	508046	511888	0.891084	0.475547	0.388888	0.689298
Chrom8	510889	513166	0.925946	0.486202	0.406863	0.787655
Chrom8	511909	516978	0.904621	0.457609	0.375886	0.708930
Chrom8	513208	521680	0.619678	0.399492	0.268507	0.440269
Chrom8	517189	523001	0.432347	0.339451	0.176117	0.227520
Chrom8	521687	529854	0.645164	0.338058	0.232277	0.354244
Chrom8	523013	532347	0.657214	0.285028	0.208243	0.389400
Chrom8	529882	534678	0.710621	0.267260	0.194715	0.430910
Chrom8	532416	539354	0.837880	0.231399	0.188352	0.409320
Chrom8	534714	554183	0.890833	0.293914	0.225910	0.532878
Chrom8	539438	564460	0.971725	0.346607	0.265471	0.777031
Chrom8	555015	569182	0.906022	0.379411	0.312572	0.677568
Chrom8	565083	570125	0.790613	0.398631	0.288490	0.595145
Chrom8	569194	577889	0.735058	0.370407	0.244682	0.591694
Chrom8	570132	586605	0.700707	0.384903	0.276841	0.561208
Chrom8	578047	590636	0.569712	0.308562	0.236362	0.491457
Chrom8	586674	596167	0.520350	0.234798	0.182570	0.401354
Chrom8	591005	598966	0.746456	0.254680	0.211052	0.548043
Chrom8	596198	600170	0.836915	0.311489	0.251254	0.750534
Chrom8	598979	601033	0.811476	0.419499	0.319636	0.631430
Chrom8	600178	601745	0.796684	0.492255	0.376799	0.590442
Chrom8	601047	606831	0.867253	0.414990	0.287861	0.651179
Chrom8	601756	613308	0.856628	0.337226	0.270075	0.323175
Chrom8	606912	616467	0.818640	0.331640	0.302692	0.197807
Chrom8	613510	620474	0.772690	0.248755	0.231817	0.128579
Chrom8	616491	630586	0.619246	0.161609	0.137555	0.150961
Chrom8	621372	633898	0.262545	0.079836	0.050786	0.143923
Chrom8	631113	636699	0.031570	0.009740	0.005075	-0.060082
Chrom8	633936	639345	0.109709	0.024628	0.013033	0.020834
Chrom8	636704	644946	-0.235882	-0.044385	-0.020527	-0.146424
Chrom8	639424	648468	-0.064824	-0.014033	-0.007395	-0.098200
Chrom8	644962	653498	0.114729	0.020264	0.011471	0.031513
Chrom8	648787	655046	0.129400	0.024301	0.012236	0.030799
Chrom8	653527	655747	-0.036298	-0.011593	-0.005918	-0.058291
Chrom8	655072	656160	-0.272542	-0.171029	-0.083671	-0.190256
Chrom8	655750	656558	-0.279224	-0.361926	-0.146388	-0.157251
Chrom8	656174	657008	-0.261379	-0.486731	-0.172738	-0.163491
Chrom8	656588	657782	-0.439684	-0.506831	-0.211054	-0.319457
Chrom8	657033	658337	-0.419165	-0.382983	-0.166454	-0.305299
Chrom8	657784	663760	0.116684	0.041144	0.024785	0.099839
Chrom8	658361	673378	0.950646	0.442921	0.317527	0.822590
Chrom8	664950	682396	0.940614	0.567698	0.408959	0.759663
Chrom8	673504	690111	0.706945	0.240412	0.175767	0.526446
Chrom8	683636	701038	0.388492	0.099275	0.068472	0.274567
Chrom8	690144	704533	0.281174	0.112574	0.064941	0.182147
Chrom8	701134	705304	-0.035399	-0.016219	-0.008839	-0.021237
Chrom8	704534	711972	0.466050	0.115484	0.080341	0.209236
Chrom8	705775	717433	0.181371	0.055998	0.034865	0.088859
Chrom8	712242	719760	-0.026337	-0.011442	-0.006116	-0.015708
Chrom8	717445	723350	0.160125	0.062766	0.043003	0.061305
