chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chrom7	9311	31378	-0.142224	-0.094058	-0.055530	-0.074860
Chrom7	12362	33170	-0.110324	-0.051586	-0.028942	-0.039793
Chrom7	31406	41581	0.086175	0.032077	0.021674	0.009900
Chrom7	33254	44671	-0.080869	-0.027677	-0.017690	-0.020498
Chrom7	41610	73671	-0.466288	-0.102187	-0.064043	-0.058125
Chrom7	45011	88452	-0.422490	-0.068127	-0.043732	-0.077765
Chrom7	74043	100892	-0.088316	-0.015794	-0.011373	-0.039854
Chrom7	90162	113207	0.280791	0.046679	0.038457	0.086795
Chrom7	101124	118336	0.592607	0.098604	0.083392	0.120782
Chrom7	113415	121390	0.422178	0.092105	0.077607	0.084980
Chrom7	118344	126623	0.527097	0.146759	0.121177	0.116875
Chrom7	121499	132665	0.792234	0.215999	0.181014	0.180864
Chrom7	126717	141529	0.584278	0.153648	0.124434	0.112304
Chrom7	132719	144825	0.257447	0.082804	0.061300	0.045912
Chrom7	141641	147386	0.263614	0.075077	0.060872	0.067696
Chrom7	144860	150942	0.358508	0.058291	0.051119	0.103415
Chrom7	147567	154383	0.056618	0.009402	0.007843	0.021287
Chrom7	151137	182659	0.133497	0.018859	0.015760	0.046761
Chrom7	154773	195921	0.233739	0.028771	0.023612	0.091022
Chrom7	183464	198373	0.279052	0.041560	0.033049	0.173893
Chrom7	197631	200244	0.176600	0.077543	0.058314	0.165765
Chrom7	198392	209862	-0.041897	-0.008461	-0.006172	-0.023351
Chrom7	200266	219181	0.064862	0.011439	0.008663	0.009531
Chrom7	210349	226265	0.118321	0.021859	0.016886	0.029614
Chrom7	219193	242958	0.297616	0.051515	0.036434	0.166653
Chrom7	227038	272101	0.567212	0.065291	0.047489	0.346724
Chrom7	242959	299821	0.009207	0.001049	0.000798	0.001834
Chrom7	272393	300244	-0.353840	-0.065220	-0.050053	-0.221567
Chrom7	300045	300877	0.906836	0.601720	0.579211	0.832142
Chrom7	300251	311139	0.053541	0.007690	0.006642	0.042672
Chrom7	300879	318362	-0.585978	-0.090185	-0.072887	-0.270879
Chrom7	311156	324150	-0.647672	-0.124439	-0.095541	-0.328085
Chrom7	318375	324757	-0.412094	-0.066879	-0.053663	-0.156190
Chrom7	324165	328679	-0.569626	-0.147687	-0.104786	-0.387383
